split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
a1_d3_00,9,0.001,0.6199,0.3801,0.3801,0.0,inf
a1_d3_00,9,0.002,0.5754,0.4246,0.4246,0.0,inf
a1_d3_00,9,0.003,0.561,0.43899999999999995,0.43899999999999995,0.0006,731.6666666666666
a1_d3_00,9,0.004,0.5415,0.4585,0.4585,0.0024,191.04166666666669
a1_d3_00,9,0.005,0.5306,0.46940000000000004,0.46940000000000004,0.0061,76.95081967213115
a1_d3_00,9,0.006,0.5162,0.4838,0.4838,0.0175,27.645714285714284
a1_d3_00,9,0.007,0.5146,0.48540000000000005,0.48540000000000005,0.028,17.33571428571429
a1_d3_00,9,0.008,0.505,0.495,0.495,0.0569,8.699472759226714
a1_d3_00,11,0.001,0.5786,0.4214,0.4214,0.0,inf
a1_d3_00,11,0.002,0.5432,0.4568,0.4568,0.0,inf
a1_d3_00,11,0.003,0.5332,0.4668,0.4668,0.0004,1167.0
a1_d3_00,11,0.004,0.5203,0.4797,0.4797,0.0012,399.75000000000006
a1_d3_00,11,0.005,0.5111,0.4889,0.4889,0.0056,87.30357142857143
a1_d3_00,11,0.006,0.5084,0.49160000000000004,0.49160000000000004,0.0104,47.269230769230774
a1_d3_00,11,0.007,0.5,0.5,0.5,0.0281,17.793594306049823
a1_d3_00,11,0.008,0.5053,0.49470000000000003,0.49470000000000003,0.0569,8.69420035149385
a1_d3_00,13,0.001,0.5641,0.43589999999999995,0.43589999999999995,0.0,inf
a1_d3_00,13,0.002,0.5372,0.4628,0.4628,0.0,inf
a1_d3_00,13,0.003,0.5244,0.4756,0.4756,0.0,inf
a1_d3_00,13,0.004,0.5164,0.48360000000000003,0.48360000000000003,0.0006,806.0000000000001
a1_d3_00,13,0.005,0.518,0.482,0.482,0.0026,185.3846153846154
a1_d3_00,13,0.006,0.5025,0.49750000000000005,0.49750000000000005,0.0093,53.49462365591399
a1_d3_00,13,0.007,0.5032,0.4968,0.4968,0.0286,17.37062937062937
a1_d3_00,13,0.008,0.4937,0.5063,0.5063,0.0553,9.155515370705244
a2_d3_10,9,0.001,0.6136,0.38639999999999997,0.38639999999999997,0.0,inf
a2_d3_10,9,0.002,0.5585,0.4415,0.4415,0.0,inf
a2_d3_10,9,0.003,0.5385,0.4615,0.4615,0.0006,769.1666666666667
a2_d3_10,9,0.004,0.5251,0.4749,0.4749,0.0024,197.875
a2_d3_10,9,0.005,0.5072,0.4928,0.4928,0.0061,80.78688524590164
a2_d3_10,9,0.006,0.5093,0.4907,0.4907,0.0175,28.04
a2_d3_10,9,0.007,0.5097,0.49029999999999996,0.49029999999999996,0.028,17.510714285714283
a2_d3_10,9,0.008,0.5048,0.4952,0.4952,0.0569,8.70298769771529
a2_d3_10,11,0.001,0.5703,0.42969999999999997,0.42969999999999997,0.0,inf
a2_d3_10,11,0.002,0.5365,0.4635,0.4635,0.0,inf
a2_d3_10,11,0.003,0.513,0.487,0.487,0.0004,1217.5
a2_d3_10,11,0.004,0.5028,0.4972,0.4972,0.0012,414.33333333333337
a2_d3_10,11,0.005,0.5022,0.4978,0.4978,0.0056,88.89285714285715
a2_d3_10,11,0.006,0.5018,0.4982,0.4982,0.0104,47.90384615384615
a2_d3_10,11,0.007,0.5024,0.49760000000000004,0.49760000000000004,0.0281,17.708185053380785
a2_d3_10,11,0.008,0.5021,0.4979,0.4979,0.0569,8.750439367311072
a2_d3_10,13,0.001,0.5415,0.4585,0.4585,0.0,inf
a2_d3_10,13,0.002,0.5119,0.4881,0.4881,0.0,inf
a2_d3_10,13,0.003,0.5069,0.4931,0.4931,0.0,inf
a2_d3_10,13,0.004,0.5048,0.4952,0.4952,0.0006,825.3333333333334
a2_d3_10,13,0.005,0.5032,0.4968,0.4968,0.0026,191.0769230769231
a2_d3_10,13,0.006,0.5041,0.4959,0.4959,0.0093,53.322580645161295
a2_d3_10,13,0.007,0.5035,0.49650000000000005,0.49650000000000005,0.0286,17.36013986013986
a2_d3_10,13,0.008,0.4985,0.5015000000000001,0.5015000000000001,0.0553,9.06871609403255
a3_d3_20,9,0.001,0.6263,0.37370000000000003,0.37370000000000003,0.0,inf
a3_d3_20,9,0.002,0.5942,0.40580000000000005,0.40580000000000005,0.0,inf
a3_d3_20,9,0.003,0.5827,0.4173,0.4173,0.0006,695.5000000000001
a3_d3_20,9,0.004,0.5726,0.4274,0.4274,0.0024,178.08333333333334
a3_d3_20,9,0.005,0.5526,0.4474,0.4474,0.0061,73.34426229508196
a3_d3_20,9,0.006,0.5402,0.4598,0.4598,0.0175,26.27428571428571
a3_d3_20,9,0.007,0.5258,0.47419999999999995,0.47419999999999995,0.028,16.935714285714283
a3_d3_20,9,0.008,0.5163,0.4837,0.4837,0.0569,8.500878734622145
a3_d3_20,11,0.001,0.6048,0.3952,0.3952,0.0,inf
a3_d3_20,11,0.002,0.5969,0.4031,0.4031,0.0,inf
a3_d3_20,11,0.003,0.5706,0.4294,0.4294,0.0004,1073.5
a3_d3_20,11,0.004,0.5469,0.45309999999999995,0.45309999999999995,0.0012,377.5833333333333
a3_d3_20,11,0.005,0.5279,0.47209999999999996,0.47209999999999996,0.0056,84.30357142857142
a3_d3_20,11,0.006,0.5104,0.48960000000000004,0.48960000000000004,0.0104,47.07692307692308
a3_d3_20,11,0.007,0.5035,0.49650000000000005,0.49650000000000005,0.0281,17.669039145907476
a3_d3_20,11,0.008,0.5051,0.4949,0.4949,0.0569,8.697715289982426
a3_d3_20,13,0.001,0.6168,0.3832,0.3832,0.0,inf
a3_d3_20,13,0.002,0.575,0.42500000000000004,0.42500000000000004,0.0,inf
a3_d3_20,13,0.003,0.5361,0.4639,0.4639,0.0,inf
a3_d3_20,13,0.004,0.5219,0.47809999999999997,0.47809999999999997,0.0006,796.8333333333334
a3_d3_20,13,0.005,0.5154,0.48460000000000003,0.48460000000000003,0.0026,186.38461538461542
a3_d3_20,13,0.006,0.5073,0.4927,0.4927,0.0093,52.97849462365592
a3_d3_20,13,0.007,0.5039,0.4961,0.4961,0.0286,17.346153846153847
a3_d3_20,13,0.008,0.4935,0.5065,0.5065,0.0553,9.159132007233271
a4_d3_40,9,0.001,0.6297,0.37029999999999996,0.37029999999999996,0.0,inf
a4_d3_40,9,0.002,0.5803,0.41969999999999996,0.41969999999999996,0.0,inf
a4_d3_40,9,0.003,0.5615,0.4385,0.4385,0.0006,730.8333333333334
a4_d3_40,9,0.004,0.5495,0.4505,0.4505,0.0024,187.70833333333334
a4_d3_40,9,0.005,0.5419,0.45809999999999995,0.45809999999999995,0.0061,75.0983606557377
a4_d3_40,9,0.006,0.528,0.472,0.472,0.0175,26.971428571428568
a4_d3_40,9,0.007,0.5208,0.47919999999999996,0.47919999999999996,0.028,17.114285714285714
a4_d3_40,9,0.008,0.5136,0.48640000000000005,0.48640000000000005,0.0569,8.548330404217927
a4_d3_40,11,0.001,0.6088,0.3912,0.3912,0.0,inf
a4_d3_40,11,0.002,0.58,0.42000000000000004,0.42000000000000004,0.0,inf
a4_d3_40,11,0.003,0.561,0.43899999999999995,0.43899999999999995,0.0004,1097.4999999999998
a4_d3_40,11,0.004,0.5322,0.4678,0.4678,0.0012,389.83333333333337
a4_d3_40,11,0.005,0.5248,0.47519999999999996,0.47519999999999996,0.0056,84.85714285714285
a4_d3_40,11,0.006,0.5095,0.49050000000000005,0.49050000000000005,0.0104,47.16346153846155
a4_d3_40,11,0.007,0.5011,0.4989,0.4989,0.0281,17.754448398576514
a4_d3_40,11,0.008,0.5089,0.4911,0.4911,0.0569,8.630931458699473
a4_d3_40,13,0.001,0.5975,0.40249999999999997,0.40249999999999997,0.0,inf
a4_d3_40,13,0.002,0.5605,0.4395,0.4395,0.0,inf
a4_d3_40,13,0.003,0.5325,0.4675,0.4675,0.0,inf
a4_d3_40,13,0.004,0.5107,0.48929999999999996,0.48929999999999996,0.0006,815.5
a4_d3_40,13,0.005,0.5144,0.48560000000000003,0.48560000000000003,0.0026,186.7692307692308
a4_d3_40,13,0.006,0.4997,0.5003,0.5003,0.0093,53.795698924731184
a4_d3_40,13,0.007,0.5046,0.49539999999999995,0.49539999999999995,0.0286,17.32167832167832
a4_d3_40,13,0.008,0.4983,0.5017,0.5017,0.0553,9.072332730560579
a5_d3_50,9,0.001,0.639,0.361,0.361,0.0,inf
a5_d3_50,9,0.002,0.5878,0.4122,0.4122,0.0,inf
a5_d3_50,9,0.003,0.5633,0.4367,0.4367,0.0006,727.8333333333334
a5_d3_50,9,0.004,0.5414,0.4586,0.4586,0.0024,191.08333333333334
a5_d3_50,9,0.005,0.5275,0.47250000000000003,0.47250000000000003,0.0061,77.45901639344262
a5_d3_50,9,0.006,0.5217,0.47829999999999995,0.47829999999999995,0.0175,27.331428571428567
a5_d3_50,9,0.007,0.5148,0.48519999999999996,0.48519999999999996,0.028,17.328571428571426
a5_d3_50,9,0.008,0.514,0.486,0.486,0.0569,8.541300527240773
a5_d3_50,11,0.001,0.603,0.397,0.397,0.0,inf
a5_d3_50,11,0.002,0.5554,0.4446,0.4446,0.0,inf
a5_d3_50,11,0.003,0.5453,0.4547,0.4547,0.0004,1136.75
a5_d3_50,11,0.004,0.5278,0.47219999999999995,0.47219999999999995,0.0012,393.5
a5_d3_50,11,0.005,0.5221,0.4779,0.4779,0.0056,85.33928571428571
a5_d3_50,11,0.006,0.504,0.496,0.496,0.0104,47.69230769230769
a5_d3_50,11,0.007,0.5076,0.49239999999999995,0.49239999999999995,0.0281,17.523131672597863
a5_d3_50,11,0.008,0.5038,0.4962,0.4962,0.0569,8.720562390158172
a5_d3_50,13,0.001,0.5933,0.40669999999999995,0.40669999999999995,0.0,inf
a5_d3_50,13,0.002,0.5514,0.4486,0.4486,0.0,inf
a5_d3_50,13,0.003,0.5199,0.48009999999999997,0.48009999999999997,0.0,inf
a5_d3_50,13,0.004,0.5138,0.48619999999999997,0.48619999999999997,0.0006,810.3333333333334
a5_d3_50,13,0.005,0.5057,0.49429999999999996,0.49429999999999996,0.0026,190.1153846153846
a5_d3_50,13,0.006,0.5038,0.4962,0.4962,0.0093,53.35483870967742
a5_d3_50,13,0.007,0.501,0.499,0.499,0.0286,17.447552447552447
a5_d3_50,13,0.008,0.4989,0.5011,0.5011,0.0553,9.061482820976492
b1_d5heavy,9,0.001,0.6272,0.3728,0.3728,0.0,inf
b1_d5heavy,9,0.002,0.573,0.42700000000000005,0.42700000000000005,0.0,inf
b1_d5heavy,9,0.003,0.5526,0.4474,0.4474,0.0006,745.6666666666667
b1_d5heavy,9,0.004,0.5384,0.4616,0.4616,0.0024,192.33333333333334
b1_d5heavy,9,0.005,0.5369,0.46309999999999996,0.46309999999999996,0.0061,75.91803278688523
b1_d5heavy,9,0.006,0.5283,0.4717,0.4717,0.0175,26.954285714285714
b1_d5heavy,9,0.007,0.5185,0.48150000000000004,0.48150000000000004,0.028,17.196428571428573
b1_d5heavy,9,0.008,0.506,0.494,0.494,0.0569,8.681898066783832
b1_d5heavy,11,0.001,0.5735,0.4265,0.4265,0.0,inf
b1_d5heavy,11,0.002,0.534,0.46599999999999997,0.46599999999999997,0.0,inf
b1_d5heavy,11,0.003,0.5171,0.4829,0.4829,0.0004,1207.25
b1_d5heavy,11,0.004,0.5172,0.4828,0.4828,0.0012,402.33333333333337
b1_d5heavy,11,0.005,0.4979,0.5021,0.5021,0.0056,89.66071428571429
b1_d5heavy,11,0.006,0.499,0.501,0.501,0.0104,48.17307692307693
b1_d5heavy,11,0.007,0.4994,0.5005999999999999,0.5005999999999999,0.0281,17.81494661921708
b1_d5heavy,11,0.008,0.5006,0.49939999999999996,0.49939999999999996,0.0569,8.776801405975394
b1_d5heavy,13,0.001,0.5493,0.4507,0.4507,0.0,inf
b1_d5heavy,13,0.002,0.5179,0.4821,0.4821,0.0,inf
b1_d5heavy,13,0.003,0.5056,0.49439999999999995,0.49439999999999995,0.0,inf
b1_d5heavy,13,0.004,0.492,0.508,0.508,0.0006,846.6666666666667
b1_d5heavy,13,0.005,0.5029,0.4971,0.4971,0.0026,191.1923076923077
b1_d5heavy,13,0.006,0.5015,0.49850000000000005,0.49850000000000005,0.0093,53.60215053763442
b1_d5heavy,13,0.007,0.5022,0.4978,0.4978,0.0286,17.405594405594407
b1_d5heavy,13,0.008,0.5006,0.49939999999999996,0.49939999999999996,0.0553,9.030741410488245
b2_d5more,9,0.001,0.6497,0.35029999999999994,0.35029999999999994,0.0,inf
b2_d5more,9,0.002,0.5813,0.41869999999999996,0.41869999999999996,0.0,inf
b2_d5more,9,0.003,0.569,0.43100000000000005,0.43100000000000005,0.0006,718.3333333333335
b2_d5more,9,0.004,0.5496,0.4504,0.4504,0.0024,187.66666666666669
b2_d5more,9,0.005,0.5363,0.4637,0.4637,0.0061,76.01639344262294
b2_d5more,9,0.006,0.531,0.469,0.469,0.0175,26.799999999999997
b2_d5more,9,0.007,0.5197,0.48029999999999995,0.48029999999999995,0.028,17.153571428571425
b2_d5more,9,0.008,0.5146,0.48540000000000005,0.48540000000000005,0.0569,8.530755711775045
b2_d5more,11,0.001,0.6153,0.38470000000000004,0.38470000000000004,0.0,inf
b2_d5more,11,0.002,0.5798,0.4202,0.4202,0.0,inf
b2_d5more,11,0.003,0.5536,0.4464,0.4464,0.0004,1116.0
b2_d5more,11,0.004,0.5352,0.4648,0.4648,0.0012,387.33333333333337
b2_d5more,11,0.005,0.5247,0.47529999999999994,0.47529999999999994,0.0056,84.87499999999999
b2_d5more,11,0.006,0.5055,0.49450000000000005,0.49450000000000005,0.0104,47.54807692307693
b2_d5more,11,0.007,0.5071,0.4929,0.4929,0.0281,17.540925266903916
b2_d5more,11,0.008,0.5058,0.4942,0.4942,0.0569,8.685413005272407
b2_d5more,13,0.001,0.6041,0.39590000000000003,0.39590000000000003,0.0,inf
b2_d5more,13,0.002,0.5598,0.44020000000000004,0.44020000000000004,0.0,inf
b2_d5more,13,0.003,0.5383,0.4617,0.4617,0.0,inf
b2_d5more,13,0.004,0.518,0.482,0.482,0.0006,803.3333333333334
b2_d5more,13,0.005,0.5166,0.48340000000000005,0.48340000000000005,0.0026,185.92307692307696
b2_d5more,13,0.006,0.5083,0.4917,0.4917,0.0093,52.87096774193549
b2_d5more,13,0.007,0.5045,0.49550000000000005,0.49550000000000005,0.0286,17.325174825174827
b2_d5more,13,0.008,0.4949,0.5051,0.5051,0.0553,9.13381555153707
b3_balanced,9,0.001,0.5942,0.40580000000000005,0.40580000000000005,0.0,inf
b3_balanced,9,0.002,0.5295,0.47050000000000003,0.47050000000000003,0.0,inf
b3_balanced,9,0.003,0.517,0.483,0.483,0.0006,805.0
b3_balanced,9,0.004,0.5019,0.4981,0.4981,0.0024,207.54166666666669
b3_balanced,9,0.005,0.506,0.494,0.494,0.0061,80.98360655737704
b3_balanced,9,0.006,0.4986,0.5014000000000001,0.5014000000000001,0.0175,28.65142857142857
b3_balanced,9,0.007,0.5066,0.49339999999999995,0.49339999999999995,0.028,17.62142857142857
b3_balanced,9,0.008,0.5022,0.4978,0.4978,0.0569,8.748681898066785
b3_balanced,11,0.001,0.5403,0.4597,0.4597,0.0,inf
b3_balanced,11,0.002,0.504,0.496,0.496,0.0,inf
b3_balanced,11,0.003,0.5092,0.4908,0.4908,0.0004,1227.0
b3_balanced,11,0.004,0.4931,0.5069,0.5069,0.0012,422.41666666666674
b3_balanced,11,0.005,0.5021,0.4979,0.4979,0.0056,88.91071428571429
b3_balanced,11,0.006,0.4961,0.5039,0.5039,0.0104,48.45192307692308
